"loc";"prv";"localidad"
450;6;"10 DE MAYO                    "
450;15;"VILLA EL CHOCON               "
451;2;"GLEW                          "
451;5;"ITA IBATE                     "
451;11;"RANCUL                        "
452;6;"COLONIA FLORENCIA             "
452;15;"VILLA LA ANGOSTURA            "
453;5;"ITATI                         "
454;2;"BRIO ALTO VERDE (LAVALLOL)    "
454;4;"BRIO SAN RAFAEL               "
454;15;"VILLA TRAFUL                  "
455;2;"BRIO ALTO VERDE (SAN NICOLAS) "
455;4;"BRIO SAN SALVADOR             "
455;5;"ITUZAINGO                     "
455;16;"ING. LUIS A.HUERGO            "
456;4;"BRIO SAN VICENTE              "
456;8;"EMPALME HOLT                  "
457;2;"BRIO ALTOS DE LAFERRERE       "
457;21;"FIGHIERA                      "
458;4;"BRIO SANTA ANA                "
458;13;"PUENTE DEL INCA               "
458;21;"FIRMAT                        "
459;4;"BRIO SANTA CATALINA           "
460;4;"BRIO SANTA CECILIA            "
460;15;"ZAPALA                        "
461;2;"BRIO ARCA                     "
461;4;"BRIO SANTA CLARA DE ASIS      "
462;10;"YUTO                          "
463;4;"BRIO SANTA ISABEL             "
466;10;"MONTERRICO                    "
467;9;"GENERAL MANUEL BELGRANO       "
467;13;"RAMA CAIDA                    "
468;2;"BRIO AVIACION                 "
470;4;"BRIO SUAREZ                   "
471;10;"ALTO DEL SALADILLO            "
472;2;"BARRIO BATAN                  "
472;4;"BRIO TABLADA PARK             "
472;17;"LAS LAJITAS                   "
473;4;"BRIO TALLERES ESTE            "
474;2;"BRIO BOATING CLUB             "
474;4;"BRIO TALLERES OESTE           "
475;21;"FRANCK                        "
476;2;"BARRIO CAISAMAR               "
476;21;"FRAY LUIS BELTRAN             "
477;4;"BRIO TRANVIARIOS              "
478;12;"COLONIA ALFREDO               "
479;15;"VILLA PEHUENIA                "
480;4;"BRIO URCA                     "
480;21;"FUNES                         "
481;4;"BRIO URITORCO                 "
482;2;"BRIO CENTENARIO               "
482;4;"BRIO VALLE DEL CERRO          "
483;21;"GALVEZ                        "
485;2;"BRIO CHELITO                  "
485;13;"RIVADAVIA                     "
486;24;"LA COCHA                      "
487;13;"RODEO DE LA CRUZ              "
488;13;"RODEO DEL MEDIO               "
489;4;"BRIO VILLA ARGENTINA          "
491;14;"SAN MARTIN                    "
492;4;"BRIO VILLA AZALAIS OESTE      "
493;4;"BRIO VILLA BELGRANO           "
494;4;"BRIO VILLA BUSTOS             "
494;13;"SALTO DE LAS ROSAS            "
495;4;"BRIO VILLA CABRERA            "
495;21;"GENERAL LAGOS                 "
496;4;"BRIO VILLA CENTENARIO         "
496;14;"9 DE JULIO                    "
497;13;"SAN FRANCISCO DEL MONTE       "
497;21;"GRANADERO BAIGORRIA           "
498;8;"FEDERACION                    "
499;4;"BRIO VILLA CORINA             "
499;13;"SAN JOSE DE GUAYMALLEN        "
500;4;"BRIO VILLA CORNU              "
501;4;"BRIO VILLA EL LIBERTADOR      "
502;4;"BRIO VILLA ESQUIU             "
503;13;"SAN MARTIN                    "
504;2;"BRIO DON ORIONE               "
504;16;"BARILOCHE                     "
507;13;"SAN RAFAEL                    "
507;16;"GENERAL ROCA                  "
507;18;"VILLA BERMEJITO               "
508;13;"SAN ROQUE                     "
509;4;"BRIO VILLA MARTA              "
512;13;"SANTA MARIA DE ORO            "
512;21;"SANTA FE                      "
513;4;"BRIO VILLA PAEZ               "
514;2;"BRIO EL DORADO (GONZALEZ CATAN"
515;21;"HUGHES                        "
517;8;"GRAL. GALARZA                 "
517;21;"HUMBOLDT                      "
518;2;"BURZACO                       "
520;21;"IBARLUCEA                     "
521;4;"BRIO VILLA UCARISTICA         "
523;4;"BRIO VILLA UNION              "
523;8;"GUALEGUAY                     "
524;8;"GUALEGUAYCHU                  "
527;4;"BRIO YAPEYU                   "
527;17;"LUIS BURELA                   "
527;24;"TAFI VIEJO                    "
528;2;"BRIO EL PARQUE                "
528;4;"BRIO YOFRE NORTE              "
529;4;"BRIO YOFRE SUD                "
530;8;"HASENKAMP                     "
531;4;"BRIO 1RO DE MAYO              "
532;18;"BAÑOS DEL SALADO              "
534;2;"BRIO EL REFUGIO               "
535;4;"BRIO 25 DE MAYO               "
536;13;"TUNUYAN                       "
537;13;"TUPUNGATO                     "
538;13;"UGARTECHE                     "
539;13;"USPALLATA                     "
543;5;"LA CRUZ                       "
544;8;"ISLA DEL IBICUY               "
549;12;"CHILECITO                     "
549;13;"VILLA DE JUNIN                "
549;17;"METAN                         "
552;11;"MIGUEL RIGLOS                 "
552;13;"VILLA HIPODROMO               "
553;2;"BARRIO GARIN NORTE            "
554;2;"BARRIO GASTRONOMICO           "
555;4;"CAÑADA DE LUQUE               "
555;13;"VILLA NUEVA DE GUAYMALLEN     "
559;2;"BRIO GRAL GUEMES              "
560;2;"BRIO GRAL JOSE M PAZ          "
562;6;"ALMIRANTE BROWN               "
565;2;"BRIO GRAL SAN MARTIN          "
566;3;"BAÑADO DE OVANTA              "
566;13;"VILLAS UNIDAS 25 DE MAYO      "
566;14;"PUERTO LIBERTAD               "
567;2;"BRIO GRANDE                   "
568;11;"PARERA                        "
568;13;"VISTALBA                      "
568;22;"FERNANDEZ                     "
571;2;"BRIO HORNOS                   "
572;13;"25 DE MAYO                    "
574;4;"VILLA CURA BROCHERO           "
576;13;"VILLA LOS CORRALITOS          "
577;13;"CIUDAD DE JUNIN               "
577;22;"FRIAS                         "
578;2;"BRIO JARDIN LA PLATA          "
578;11;"PICHI HUINCA                  "
578;24;"LAS TALITAS                   "
579;2;"BRIO JARDIN                   "
579;13;"BARRIO JARDIN LUZURIAGA       "
580;2;"BRIO JARDINES DE MORENO       "
583;4;"CABANA                        "
586;2;"BRIO JOSE INGENIEROS          "
587;11;"QUEMU QUEMU                   "
589;17;"ORAN                          "
590;13;"CERRO ACONCAGUA               "
593;2;"BRIO LA CABAÑA                "
593;4;"CALCHIN                       "
593;11;"RANCUL                        "
594;4;"CALCHIN OESTE                 "
594;11;"REALICO                       "
595;4;"CALERA CENTRAL                "
595;10;"ALGARROBAL                    "
596;11;"GUATRACHE                     "
598;4;"CAMILO ALDAO                  "
599;22;"GUARDIA ESCOLTA               "
602;3;"MUTQUIN                       "
602;14;"PANAMBI                       "
603;13;"ALTO DE LAS ARAÑAS            "
603;22;"GUAYACAN                      "
604;21;"LA FLORIDA (DEPTO ROSARIO)    "
606;10;"SAN PABLO DE REYES            "
607;8;"CRESPO                        "
607;11;"SALLIQUELLO                   "
608;13;"ALGARROBO                     "
609;21;"LA INES                       "
611;2;"BARRIO LA LUISA               "
618;10;"EL CADILLAL                   "
620;5;"LAVALLE                       "
622;5;"LIBERTAD                      "
622;17;"PAYOGASTA                     "
628;2;"BRIO LA UNION                 "
630;17;"PICHANAL                      "
631;4;"CANALS                        "
631;10;"CERROS ZAPLA                  "
640;2;"BRIO LAS MARGARITAS (QUILMES O"
642;13;"SAN JOSE                      "
643;3;"POMAN                         "
644;21;"LANDETA                       "
646;2;"BRIO LAS TUNAS                "
647;4;"CANTERAS LOS MORALES          "
647;21;"LARRECHEA                     "
648;2;"BRIO LIBERTADOR               "
648;21;"ESPERANZA                     "
652;13;"ARENALES                      "
653;24;"LOS POCITOS                   "
654;21;"LAS DELICIAS                  "
656;21;"LAS GARZAS                    "
660;2;"BRIO LOS GALLITOS             "
660;4;"CAPILLA DEL MONTE             "
661;8;"LA PAZ                        "
661;21;"LAS PAREJAS                   "
662;2;"BRIO LOS MANZANOS             "
664;11;"SANTA INES                    "
666;21;"LAS TOSCAS                    "
667;6;"PASO DE LOS LIBRES            "
667;11;"SANTA ROSA                    "
669;2;"BRIO LOS VASCOS               "
671;4;"CARNERILLOS (COSQUIN-DEPT PUNI"
673;2;"BRIO LUJAN                    "
673;21;"LEHMANN                       "
674;4;"CAROLINA                      "
675;4;"CAROYA                        "
676;21;"LLAMBI CAMPBELL               "
677;4;"CARRILOBO                     "
678;21;"LOMA ALTA                     "
680;8;"LARROQUE                      "
680;21;"LOPEZ                         "
681;2;"BRIO MARIANO MORENO (VALENT AL"
681;24;"LULES                         "
687;2;"BRIO MARTINEZ MORENO          "
687;4;"VILLA DEL TOTORAL             "
692;2;"BRIO MONTE CUDINE             "
700;4;"CABALANGO                     "
701;4;"CAVANAGH                      "
702;11;"VICTORICA                     "
703;2;"BRIO NUEVO                    "
704;3;"SAN ANTONIO DE FRAY M ESQUIU  "
706;2;"PEHUAJO                       "
708;3;"SAN FERNANDO                  "
711;3;"SAN ISIDRO                    "
712;5;"MERCEDES                      "
717;21;"MALABRIGO                     "
719;2;"BRIO PARQUE BARON             "
721;21;"MARGARITA                     "
722;5;"MONTE CASEROS                 "
724;17;"ROSARIO DE LA FRONTERA        "
726;21;"MARIA SUSANA                  "
727;21;"MARIA TERESA                  "
731;24;"MONTEROS                      "
732;2;"BRIO PARQUE PERO              "
732;22;"LA BANDA                      "
734;4;"CHAZON                        "
735;17;"SALTA                         "
736;2;"PARQUE SAN MARTIN             "
738;2;"BRIO PASCO                    "
739;3;"SANTA MARIA                   "
739;8;"MARIA GRANDE                  "
741;3;"SANTA ROSA (VALLE VIEJO)      "
742;3;"SANTO DOMINGO                 "
742;19;"NUEVA GALIA                   "
742;21;"MONTES DE OCA                 "
747;6;"SAN LUIS                      "
748;5;"OMBU SAN MIGUEL               "
749;4;"CIENAGA DEL CORO              "
750;4;"CINTRA                        "
750;17;"SAN CARLOS                    "
753;4;"CNEL. BAIGORRIA               "
754;2;"BRIO PUENTE ROCA              "
754;4;"CNEL. MOLDES                  "
755;4;"CNEL OLMEDO                   "
758;4;"COLONIA ALMADA                "
758;8;"NOGOYA                        "
763;8;"NOGOYA                        "
769;8;"ORO VERDE                     "
773;2;"BRIO SAN CRISTOBAL            "
774;21;"PAVON                         "
775;4;"COLONIA CAROYA                "
777;17;"SAN LORENZO                   "
780;2;"EZEIZA                        "
781;2;"BRIO SAN IGNACIO LOYOLA       "
781;21;"PEREZ                         "
783;8;"PARANA                        "
784;3;"VALLE VIEJO                   "
785;21;"PIÑERO                        "
786;2;"BRIO SAN JORGE (SAN FERNANDO) "
790;2;"MORON                         "
790;5;"PASO DE LA PATRIA             "
791;3;"VILLA DOLORES                 "
792;5;"PASO DE LOS LIBRES            "
793;3;"VILLA PARQUE CHACABUCO        "
793;17;"TARTAGAL                      "
797;2;"BRIO SAN JUAN (MAR DEL PLATA) "
801;21;"PUERTO GRAL SAN MARTIN        "
803;8;"PBLO NUEVO GUALEGUAYCHU       "
806;21;"SAN LORENZO                   "
809;21;"PUEBLO ESTHER                 "
810;2;"BRIO SAN ROQUE (BERAZATEGUI)  "
820;2;"MONTE GRANDE                  "
821;8;"DIAMANTE                      "
821;21;"RAFAELA                       "
829;8;"PRTO VIEJO PARANA             "
829;17;"LAS LAJITAS                   "
829;21;"RINCON DEL PINTADO            "
832;4;"COLONIA MARINA                "
832;8;"PRESIDENTE AVELLANEDA         "
833;8;"PTO VIEJO C DEL URUGUAY       "
833;21;"RECONQUISTA                   "
834;21;"RECREO                        "
838;21;"RICARDONE                     "
844;21;"ROLDAN                        "
846;21;"ROSARIO                       "
848;21;"RUFINO                        "
849;4;"COLONIA SAN BARTOLOME         "
850;2;"BRIO TRONCOS DEL TALAR        "
851;21;"SA PEREYRA                    "
852;21;"SAGUIER                       "
855;21;"SALTO GRANDE                  "
858;4;"CANALS                        "
861;21;"SAN CARLOS CENTRO             "
862;8;"PUIGGARI                      "
864;19;"LUJAN                         "
864;21;"SAN CRISTOBAL                 "
869;17;"TARTAGAL                      "
874;21;"SAN GREGORIO                  "
880;21;"SAN JERONIMO NORTE            "
881;21;"SAN JERONIMO SUD              "
883;21;"SAN JORGE                     "
884;11;"GENERAL ACHA                  "
885;11;"GRAL. PICO                    "
885;19;"VILLA MERCEDES                "
885;21;"SAN JOSE DE LA ESQUINA        "
886;4;"CONCEPCION                    "
886;11;"GENERAL SAN MARTIN            "
886;19;"MERLO                         "
886;21;"SAN JOSE DEL RINCON           "
888;11;"INT. ALVEAR                   "
888;21;"SAN JUSTO                     "
889;21;"SAN LORENZO                   "
893;4;"CORDOBA                       "
893;5;"SALADAS                       "
894;2;"BURZACO                       "
894;4;"CORIMAYO                      "
894;11;"SANTA ROSA                    "
896;4;"CORRAL DE BUSTOS              "
897;21;"SAN PEDRO                     "
900;2;"CAÑADA SECA                   "
900;19;"NASCHEL                       "
901;2;"CAÑUELAS                      "
903;17;"VAQUEROS                      "
903;22;"LAPRIDA                       "
904;2;"CABILDO                       "
904;21;"SAN VICENTE                   "
905;3;"CHAÑARCITO                    "
906;2;"CACHARI                       "
906;4;"CORRALITO                     "
906;21;"SANCTI SPIRITU                "
910;21;"SANTA CLARA DE BUENA VISTA    "
911;4;"COSQUIN                       "
911;8;"URDINARRAIN                   "
912;8;"SAN BENITO                    "
913;21;"SANTA FE                      "
914;2;"ENSENADA                      "
915;2;"CAMBACERES                    "
915;3;"SAN JOSE                      "
915;5;"SAN BORJITA                   "
915;21;"SANTA ISABEL                  "
916;2;"CAMET                         "
919;2;"CAMINERA LUJAN                "
920;4;"CRUZ DEL EJE                  "
920;17;"VILLA SAN LORENZO             "
921;21;"SANTA ROSA DE CALCHINES       "
922;3;"LAS PAMPITAS                  "
922;5;"SAN COSME                     "
923;8;"SAN JOSE                      "
924;2;"CAMPANA                       "
924;8;"SAN JOSE DE FELICIANO         "
926;21;"SANTO TOME                    "
930;21;"SAUCE VIEJO                   "
931;2;"CAMPO DEL NORTE AMERICANO     "
932;22;"LAS HERMANAS                  "
932;24;"SAN MIGUEL DE TUCUMAN         "
933;21;"SERODINO                      "
934;4;"CUESTA BLANCA                 "
934;17;"YACONES                       "
936;21;"SOLDINI                       "
936;24;"SAN PABLO                     "
937;8;"SAN SALVADOR                  "
940;4;"DEAN FUNES                    "
941;4;"DEL CAMPILLO                  "
941;21;"SUNCHALES                     "
946;4;"DEVOTO                        "
951;21;"TIMBUES JOSE MARIA            "
953;8;"SANTA MARTA GUALEGUAY         "
954;4;"EL DIQUECITO                  "
954;21;"TORTUGAS                      "
955;21;"TOSTADO                       "
961;18;"COLONIA YORNER                "
964;13;"MESETA COLORADA               "
965;21;"VENADO TUERTO                 "
965;22;"LAVALLE (GUASAYAN)            "
966;21;"VERA                          "
967;17;"SAN LUIS                      "
968;4;"DUMESNIL                      "
969;8;"SEGUI                         "
972;21;"VILA                          "
974;21;"VILLA AMELIA                  "
977;2;"CANNING                       "
978;21;"VILLA CAÑAS                   "
979;8;"TABLADA OESTE CONCORDIA       "
980;21;"VILLA CONSTITUCION            "
982;2;"CANTERAS DE GREGORINI         "
984;21;"VILLA ELOISA                  "
985;2;"CAPITAN SARMIENTO             "
986;19;"POTRERO DE LOS FUNES          "
987;2;"CAPILLA DEL SEÑOR             "
988;21;"VILLA GOBERNADOR GALVEZ       "
989;2;"CAPILLA DEL SEÑOR             "
991;2;"CARAPACHAY                    "
994;2;"CARHUE                        "
994;4;"EL BOSQUE                     "
995;21;"VILLA MINETTI                 "
996;2;"CARILO                        "
997;2;"CARLOS BEGUERIE               "
998;2;"CARLOS CASARES                "
998;8;"UBAJAY                        "
999;2;"CARLOS KEEN                   "
999;8;"URDINARRAIN                   "
1000;24;"TAFI VIEJO                    "
1001;2;"CARLOS M. NAON                "
1003;2;"CARLOS SPEGAZZINI             "
1004;21;"VILLA TRINIDAD                "
1005;2;"CARLOS TEJEDOR                "
1006;2;"CARMEN DE ARECO               "
1006;8;"VICTORIA                      "
1007;2;"CARMEN DE PATAGONES           "
1010;2;"CASBAS                        "
1012;2;"CASEROS                       "
1014;2;"CASTELAR                      "
1014;8;"VILLA ELISA                   "
1015;2;"CASTELLI                      "
1015;5;"SANTA ANA                     "
1016;2;"CASTILLA                      "
1018;2;"CDAD DEL GRAL SAN MARTIN      "
1018;21;"ZAVALLA                       "
1022;2;"CENTRO AGRICOLA EL PATO       "
1022;8;"VILLA PARANACITO              "
1026;8;"VILLA SAN JOSE                "
1031;2;"CHACABUCO                     "
1034;8;"VILLA ZORRAQUIN               "
1034;24;"TUCUMAN                       "
1036;2;"BARRIO CHAPADMALAL            "
1036;8;"VILLAGUAY                     "
1037;2;"CHAPALEOFU                    "
1039;19;"RINCON DEL ESTE               "
1040;2;"CHASCOMUS                     "
1045;2;"CHIVILCOY                     "
1049;2;"CITY BELL                     "
1050;2;"CIUDAD EVITA                  "
1051;2;"EL PALOMAR                    "
1052;2;"CIUDADELA                     "
1053;2;"CLARAZ                        "
1056;8;"VICTORIA                      "
1057;2;"CLAYPOLE                      "
1058;2;"COMODORO PY                   "
1060;2;"CMDTE. NICANOR OTAMENDI       "
1061;2;"QUILMES OESTE                 "
1063;5;"SANTO TOME                    "
1064;2;"BERNAL OESTE                  "
1070;24;"VILLA MARIANO MORENO          "
1073;8;"PASAJE TALAVERA               "
1074;2;"CNEL. BRANDSEN                "
1075;2;"CNEL. CHARLONE                "
1075;8;"COLONIA EL POTRERO            "
1076;2;"CNEL. DORREGO                 "
1076;5;"SOLEDAD (DEPTO DE GOYA)       "
1078;2;"CNEL. FRANCISCO LYNCH         "
1080;24;"VILLA QUINTEROS               "
1081;21;"ESTACION VILLA CONSTITUCION   "
1083;21;"PUEBLO NUEVO                  "
1084;21;"ARROYO LEYES                  "
1085;2;"CNEL. PRINGLES                "
1085;8;"EL POTRERO                    "
1087;24;"VILLA ZENON SANTILLAN         "
1088;2;"CNEL. SUAREZ                  "
1089;2;"CNEL. VIDAL                   "
1104;24;"YERBA BUENA                   "
1107;2;"JUAN COUSTE                   "
1109;2;"COL LA CAPILLA                "
1109;19;"SAN LUIS                      "
1117;8;"AVENIDA EJERCITO PARANA       "
1121;24;"VILLA TRANCAS                 "
1124;8;"LIBERTADOR SAN MARTIN         "
1126;24;"SAN BERNARDO B                "
1132;4;"LA CUMBRE                     "
1165;2;"COLONIA SERE                  "
1165;19;"SANTA ROSA DE CONLARA         "
1167;24;"ABRA DEL TAFI                 "
1173;8;"KILMETRO 165                  "
1174;2;"COLON                         "
1177;4;"EMBALSE                       "
1178;19;"SANTO DOMINGO (SAN LUIS-CAPITA"
1179;21;"GOBERNADOR CRESPO             "
1181;21;"ROSARIO                       "
1184;2;"CORTINES                      "
1185;2;"COSTA AZUL                    "
1192;2;"CRUCESITA                     "
1192;5;"ITUZAINGO                     "
1193;5;"GDOR ING VALENTIN VIRASO      "
1194;2;"CSTA DE VILLA DOMINICO        "
1196;2;"RANCHOS                       "
1198;2;"CUARTEL V                     "
1200;8;"SUBCENTRAL SANTA MARIA        "
1205;24;"SAN MIGUEL                    "
1207;13;"M ESCUDERO                    "
1213;2;"DAIREAUX                      "
1214;5;"SAN ROQUE                     "
1219;19;"UNION                         "
1222;2;"DEL VISO                      "
1222;4;"ETRURIA                       "
1223;2;"DELA GARMA                    "
1226;4;"RIO TERCERO                   "
1226;8;"COLONIA LOS SAUCES            "
1227;8;"KILOMETRO 32                  "
1229;4;"FERREYRA                      "
1230;4;"PASCO                         "
1236;2;"DOCK SUD                      "
1237;2;"DOLORES                       "
1237;19;"VILLA LARCA                   "
1239;2;"DON BOSCO                     "
1239;19;"VILLA MERCEDES                "
1241;2;"DON TORCUATO                  "
1241;3;"RECREO                        "
1242;4;"GRAL. BALDISSERA              "
1243;4;"GRAL. CABRERA                 "
1244;3;"SAN FDO DEL VALLE DE CATAMARCA"
1244;4;"GRAL. DEHEZA                  "
1245;2;"DOYLE                         "
1247;2;"VICTORIA                      "
1247;4;"GRAL. LAVALLE                 "
1248;2;"DR ALEJANDRO KORN             "
1249;4;"GRAL. PAZ                     "
1251;4;"GRAL. ROCA                    "
1259;2;"DUGGAN                        "
1259;19;"JUANA KOSLAY                  "
1271;5;"PALMAR                        "
1272;2;"EL BOQUERON                   "
1274;4;"HERNANDO                      "
1277;19;"SANTO DOMINGO                 "
1278;4;"HOLMBERG                      "
1287;4;"HUERTA GRANDE                 "
1287;19;"EL VOLCAN                     "
1289;4;"HUINCA RENANCO                "
1297;8;"COLONIA ELISA                 "
1299;8;"ESTACION URUGUAY              "
1302;2;"EL JAGUEL                     "
1312;4;"JAMES CRAIK                   "
1316;4;"JESUS MARIA                   "
1317;2;"EL PALOMAR                    "
1318;4;"JOVITA                        "
1321;4;"JUAREZ CELMAN                 "
1324;4;"JUSTINIANO POSSE              "
1338;2;"SALTO                         "
1342;2;"EL ROCIO                      "
1351;2;"EL TALAR                      "
1358;2;"EL TRIUNFO                    "
1358;22;"QUIMILI                       "
1372;2;"EMILIO V. BUNGE               "
1375;2;"EMPALME                       "
1376;2;"EMPALME LOBOS                 "
1380;2;"EMPALME SAN VICENTE           "
1386;17;"EL TALAR                      "
1387;2;"ENSENADA                      "
1391;13;"AGUA DE LA MULA               "
1401;4;"LA CALERA                     "
1402;2;"ESCOBAR                       "
1408;2;"ESPORA                        "
1409;4;"LA CARLOTA                    "
1410;4;"LA CAROLINA                   "
1414;4;"LA CESIRA                     "
1418;2;"LINCOLN                       "
1423;5;"AGUAY                         "
1426;4;"ARROYITO                      "
1435;2;"ESTEBAN ECHEVERRIA            "
1436;4;"LA CUMBRE                     "
1438;4;"LA CUMBRECITA                 "
1438;5;"SOLEDAD                       "
1443;2;"EXALTACION DE LA CRUZ         "
1444;2;"EZEIZA                        "
1445;2;"EZPELETA ESTE                 "
1453;4;"LA FALDA                      "
1454;2;"FATIMA ESTACION EMPALME       "
1455;5;"RIACHUELO                     "
1456;2;"FAUZON                        "
1457;2;"FELIPE SOLA                   "
1460;2;"FIORITO                       "
1462;2;"FLORENCIO VARELA              "
1463;2;"FLORIDA                       "
1466;4;"LA GRANJA                     "
1472;2;"FORTIN OLAVARRIA              "
1475;17;"CERRILLOS                     "
1476;4;"ALTA GRACIA                   "
1477;17;"CORONEL MOLLINEDO             "
1478;2;"FRANCISCO ALVAREZ             "
1480;2;"FRANCISCO CASAL               "
1480;17;"GENERAL GUEMES                "
1482;5;"COLONIA TATACUA               "
1483;2;"FRANCISCO MADERO              "
1486;2;"FRANKLIN                      "
1486;17;"PICHANAL                      "
1490;17;"SAN RAMON DE LA NUEVA ORAN    "
1493;2;"FUNKE APDRO FCGB              "
1501;2;"GARDEY                        "
1502;2;"GARIN                         "
1506;2;"GERENTE CILLEY                "
1507;2;"GERLI AVELLANEDA              "
1508;2;"GERLI                         "
1509;2;"GERMANIA                      "
1510;4;"LA PARA                       "
1513;2;"GLEW                          "
1516;4;"LA PERLA                      "
1523;4;"LA PLAYOSA                    "
1525;4;"LA POBLACION                  "
1531;2;"ADOLFO GONZALES CHAVES        "
1532;2;"GONZALEZ CATAN                "
1533;2;"GONZALEZ MORENO               "
1542;5;"ALAMO                         "
1545;2;"GRAL. ALVARADO                "
1546;2;"GRAL. ALVEAR                  "
1547;2;"GRAL. ARENALES                "
1547;4;"LA REDENCION                  "
1548;2;"GRAL BELGRANO                 "
1552;2;"GRAL. GUIDO                   "
1554;2;"GRAL. LAMADRID                "
1555;2;"GRAL. LAS HERAS               "
1557;2;"GRAL. MADARIAGA               "
1560;2;"GRAL. PACHECO                 "
1562;2;"GRAL. PINTO                   "
1563;2;"GRAL. PIRAN                   "
1564;2;"GRAL. RODRIGUEZ               "
1568;4;"RIO PRIMERO                   "
1569;2;"GRAL. VILLEGAS                "
1570;2;"GRAND BOURG                   "
1572;2;"GREGORIO DE LAFERRERE         "
1572;5;"LA CRUZ                       "
1582;2;"GUERNICA                      "
1586;2;"GUILLERMO E HUDSON            "
1588;2;"GUTIERREZ                     "
1590;2;"HAEDO                         "
1590;22;"SANTA CATALINA (BANDERA-BELGRA"
1594;4;"LABORDE                       "
1595;4;"LABOULAYE                     "
1598;13;"CARRODILLA LA PUNTILLA        "
1599;13;"GENERAL ALVEAR                "
1602;4;"LAGUNA LARGA                  "
1602;13;"LIBERTADOR GRAL SAN MARTIN    "
1607;4;"PILAR                         "
1618;2;"HENDERSON                     "
1624;2;"HINOJO                        "
1629;2;"HORNOS DEL SERRANO            "
1632;22;"SANTIAGO DEL ESTERO           "
1636;2;"HUETEL                        "
1638;2;"HURLINGHAM                    "
1643;2;"INDACOCHEA                    "
1647;2;"INGENIERO BALBIN              "
1649;2;"ING. BUDGE                    "
1650;2;"ING. ALLAN                    "
1651;2;"ING. MASCHWITZ                "
1652;2;"ING. MONETA                   "
1653;2;"ING. PABLO NOGUES             "
1654;4;"LAS DELICIAS                  "
1657;2;"ING. THOMPSON                 "
1659;2;"ING. WHITE                    "
1661;2;"INOCENCIO SOSA                "
1661;19;"SAN LUIS                      "
1662;19;"SAN MARTIN                    "
1665;19;"TRAPICHE                      "
1667;4;"LAS HIGUERAS                  "
1669;2;"ISIDRO CASANOVA               "
1673;2;"ISLA MARTIN GARCIA            "
1682;2;"ITUZAINGO                     "
1683;5;"BERON DE ASTRADA              "
1684;2;"J INGENIEROS (3 DE FEBRERO)   "
1684;4;"SARMIENTO                     "
1686;2;"JAUREGUI JOSE MARIA           "
1687;2;"JEPPENER                      "
1687;5;"CURUZU CUATIA                 "
1687;22;"SUMAMPA                       "
1688;2;"JOAQUIN GORINA                "
1693;2;"JOSE C PAZ                    "
1696;2;"JOSE LEON SUAREZ              "
1696;5;"MBURUCUYA                     "
1697;4;"LAS PALMAS                    "
1698;2;"VILLA BOSCH                   "
1698;5;"PASO DE LOS LIBRES            "
1700;2;"JOSE MARMOL                   "
1707;5;"SANTA LUCIA                   "
1708;2;"JUAN B DE LA SALLE            "
1710;4;"LAS PEÑAS NORTE               "
1713;4;"LAS PERDICES                  "
1718;2;"JOSE MARIA GUTIERREZ          "
1719;2;"JUAN N FERNANDEZ              "
1723;2;"JUAN VUCETICH APDRO FCGU      "
1723;4;"VILLA MARIA                   "
1724;2;"JUANCHO                       "
1725;2;"BENITO JUAREZ                 "
1727;2;"JUNIN                         "
1728;2;"CIUDAD EVITA                  "
1742;22;"TERMAS DE RIO HONDO           "
1744;4;"LAS VARILLAS                  "
1746;2;"KM 30                         "
1754;4;"LEONES                        "
1755;2;"GRAND BOURG                   "
1761;2;"KM 40 (FLORENCIO VARELA)      "
1768;2;"MARCOS PAZ                    "
1777;4;"LOS BOULEVARES                "
1788;2;"POBLET                        "
1791;2;"KM 88 (CAMPANA)               "
1800;2;"LA ADELA                      "
1802;4;"LOS COCOS                     "
1806;4;"LOS CONDORES                  "
1824;2;"LA BOLSA                      "
1827;2;"LA CAÑADA                     "
1832;4;"LOS MOLLES                    "
1840;4;"LOS PARAISOS                  "
1854;2;"LA CUMBRE APDRO FCGB          "
1860;2;"LA DULCE                      "
1861;4;"LOS REARTES                   "
1862;2;"LA EMILIA                     "
1868;2;"SIERRAS BAYAS                 "
1877;2;"LA FRATERNIDAD                "
1879;2;"LA GAVIOTA                    "
1887;22;"ZANJON                        "
1891;4;"LUQUE                         "
1899;22;"VILLA OJO DE AGUA             "
1901;4;"MALAGUEÑO                     "
1903;2;"LA LOMA (PDO LA PLATA)        "
1905;2;"LA LONJA                      "
1905;4;"MALVINAS ARGENTINAS           "
1906;2;"LA LUCIA                      "
1907;2;"LA LUCILA                     "
1908;2;"LA LUCILA DEL MAR             "
1909;2;"LA LUISA                      "
1910;4;"MANFREDI                      "
1913;4;"MARCOS JUAREZ                 "
1920;4;"MATORRALES                    "
1921;4;"MATTALDI                      "
1929;4;"MELO                          "
1930;4;"MENDIOLAZA                    "
1938;4;"MINA CLAVERO                  "
1944;2;"LA PAMPA                      "
1950;2;"LA PEREGRINA                  "
1951;2;"LA PERLA                      "
1954;4;"MONTE BUEY                    "
1955;2;"LA PLATA                      "
1956;2;"LA PLAYA                      "
1956;4;"MONTE CRISTO                  "
1967;4;"MONTE MAIZ                    "
1968;4;"MONTE RALO                    "
1972;4;"MORTEROS                      "
1975;2;"ROQUE PEREZ                   "
