"loc";"prv";"localidad"
75;4;"ARROYITO                      "
75;15;"CAVIAHUE                      "
75;20;"EL MANGRULLO                  "
76;11;"COLONIA BARON                 "
77;4;"ARROYO ALGODON                "
77;12;"CHEPES                        "
77;15;"CENTENARIO                    "
77;18;"CAUCETE                       "
77;21;"BARRIO CAIMA                  "
78;6;"JUAN JOSE CASTELLI            "
78;14;"APOSTOLES                     "
78;24;"BANDA DEL RIO SALI            "
79;12;"CHILECITO                     "
80;14;"COLONIA AURORA                "
83;17;"BARRIO LA LOMA                "
83;18;"CHIMBAS                       "
83;24;"BELLA VISTA                   "
84;13;"BUENA NUEVA                   "
88;17;"BRIO PARQUE 3 CERRITOS        "
90;2;"ARENAZA                       "
90;14;"COLONIA GUARANI               "
90;16;"CHACRAS DE ALLEN              "
91;4;"ASCONCHINGA                   "
91;5;"BELLA VISTA                   "
91;12;"DESIDERIO TELLO               "
93;14;"COLONIA JAPONESA              "
93;24;"BANDA DEL RIO SALI            "
94;4;"ATOS PAMPA                    "
95;2;"ARISTOBULO DEL VALLE          "
95;6;"COLONIA POPULAR               "
96;16;"CHICHINALES                   "
97;2;"ARRECIFES                     "
97;8;"ARROYO MOREIRA                "
98;10;"VILLA CIUDAD DE NIEVA         "
99;13;"CAMPAMENTOS                   "
99;19;"BEAZLEY                       "
103;3;"CASAS VIEJAS (DEPTO AMBATO)   "
103;17;"CACHI                         "
104;3;"CATAMARCA                     "
105;6;"COLONIAS UNIDAS               "
105;13;"CAPILLA DEL ROSARIO           "
106;6;"CONCEPCION DEL BERMEJO        "
106;16;"CINCO SALTOS                  "
107;6;"CORZUELA                      "
107;13;"CARBOMETAL                    "
107;16;"CIPOLLETTI                    "
107;17;"CAFAYATE                      "
108;6;"COTE LAI                      "
108;15;"CHOS MALAL                    "
108;22;"BANDERA                       "
109;17;"CALDERA                       "
109;20;"GOBERNADOR GREGORES           "
110;15;"SAN MARTIN DE LOS ANDES       "
111;14;"WANDA                         "
113;17;"ROSARIO DE LERMA              "
113;20;"GUARKENKEN AIKE               "
114;4;"BAJO GRANDE                   "
114;13;"CARRODILLA                    "
114;14;"25 DE MAYO                    "
115;4;"BAJO GRANDE                   "
115;14;"CONCEPCION DE LA SIERRA       "
115;16;"CATRIEL                       "
116;9;"EL COLORADO                   "
117;7;"CHOLILA                       "
117;17;"CAMPAMENTO VESPUCIO           "
117;21;"BRIO SUR                      "
118;18;"DESAMPARADOS                  "
119;2;"ARROYO ARROYON FELICARIA      "
119;7;"COMODORO RIVADAVIA            "
119;13;"CERRILLOS AL SUD              "
122;15;"CORRENTOSO                    "
123;4;"BALLESTEROS                   "
124;3;"CHUMBICHA                     "
124;16;"COLONIA RUSA                  "
125;13;"CHACRAS DE CORIA              "
126;8;"AV EJTO PARANA                "
128;6;"TRES ISLETAS                  "
