0;"IA008148";"BMW                           ";"120I ACTIVE  STEPTRONIC       ";"01"
0;"IA008149";"BMW                           ";"320D SEDAN ACTIVE STEPTRONIC  ";"01"
0;"IA008153";"BMW                           ";"330I SEDAN EXECUTIVE STEPTRONI";"01"
0;"IA008154";"BMW                           ";"330I SEDAN SPORTIVE  STEPTRONI";"01"
0;"IA008159";"BMW                           ";"X 3  3.0D  EXECUTIVE STEPTRONI";"04"
0;"IA008160";"BMW                           ";"X 3  3.0I  EXECUTIVE STEPTRONI";"04"
0;"IA008161";"BMW                           ";"X 5  3.0D  EXECUTIVE STEPTRONI";"04"
0;"IA008162";"BMW                           ";"X 5  3.0I  EXECUTIVE STEPTRONI";"04"
0;"IA008166";"BMW                           ";"130I M SPORT PACKAGE          ";"01"
0;"IA008167";"BMW                           ";"130I M SPORT PACKAGE STEPTRONI";"01"
0;"IA008171";"BMW                           ";"650  CI COUPE  PREMIUM STEPTRO";"01"
0;"IA008172";"BMW                           ";"330I SEDAN EXECUTIVE LN       ";"01"
0;"IA008173";"BMW                           ";"330I SEDAN SPORTIVE  LN       ";"01"
0;"IA008176";"BMW                           ";"116I ACTIVE                   ";"01"
0;"IA008177";"BMW                           ";"Z 4 3.0 SI COUPE EXECUTIVE    ";"01"
0;"IA008180";"BMW                           ";"323I SEDAN ACTIVE STEPTRONIC  ";"01"
0;"IA008181";"BMW                           ";"330D SEDAN EXECUTIVE LN       ";"01"
0;"IA008184";"BMW                           ";"320D TOURING ACTIVE           ";"01"
0;"IA008185";"BMW                           ";"320D TOURING ACTIVE  STEPTRONI";"01"
0;"IA008186";"BMW                           ";"325I  COUPE EXECUTIVE         ";"01"
0;"IA008187";"BMW                           ";"335I COUPE SPORTIVE           ";"01"
0;"IA011105";"CITROEN                       ";"BERLINGO MULTISPACE 1.9 D 2PLC";"01"
0;"IA011107";"CITROEN                       ";"PICASSO 2.0 16V EXCLUSIVE     ";"01"
0;"IA011109";"CITROEN                       ";"PICASSO 2.0 HDI EXCLUSIVE     ";"01"
0;"IA011115";"CITROEN                       ";"BERLINGO MULTISPACE 1.9 D 2PLC";"01"
0;"IA011124";"CITROEN                       ";"C 3 1.6I 16V EXCLUSIVE        ";"01"
0;"IA011126";"CITROEN                       ";"C 3 1.4  HDI EXCLUSIVE        ";"01"
0;"IA011127";"CITROEN                       ";"C 3 1.4  HDI SX               ";"01"
0;"IA011128";"CITROEN                       ";"C 3 1.4I SX                   ";"01"
0;"IA011133";"CITROEN                       ";"BERLINGO FURGON 1.9 D FULL    ";"02"
0;"IA011135";"CITROEN                       ";"BERLINGO FURGON 1.9 D PACK PLC";"02"
0;"IA011147";"CITROEN                       ";"PICASSO SPIRIT 2.0 HDI EXCLUSI";"01"
0;"IA011149";"CITROEN                       ";"PICASSO 1.6 16V               ";"01"
0;"IA011151";"CITROEN                       ";"PICASSO 2.0 16V EXCLUSIVE CUER";"01"
0;"IA011153";"CITROEN                       ";"C 3 1.4  HDI XTR              ";"01"
0;"IA011154";"CITROEN                       ";"C 3 1.6I 16V XTR              ";"01"
0;"IA011156";"CITROEN                       ";"JUMPER 2.8 HDI FURGON PACK L/0";"03"
0;"IA011158";"CITROEN                       ";"PICASSO SAFARI 2.0 16V EXCLUSI";"01"
0;"IA011160";"CITROEN                       ";"PICASSO SAFARI 2.0 HDI EXCLUSI";"01"
0;"IA012047";"CHEVROLET                     ";"CORSA GL 1.6 4 P         (CLAS";"01"
0;"IA012051";"CHEVROLET                     ";"CORSA GL 1.6 3 P         (CLAS";"01"
0;"IA012052";"CHEVROLET                     ";"CORSA GL 1.6 4 P AA DH    (SUP";"01"
0;"IA012053";"CHEVROLET                     ";"CORSA GL 1.6 3 P AA DH   (CLAS";"01"
0;"IA012121";"CHEVROLET                     ";"CORSA GL 1.6 WAGON AA DH (CLAS";"01"
0;"IA012189";"CHEVROLET                     ";"PICK-UP S10 2.8 TDI 4X2 S/C   ";"03"
0;"IA012191";"CHEVROLET                     ";"PICK-UP S10 2.8 TDI 4X2 D/C AA";"03"
0;"IA012192";"CHEVROLET                     ";"PICK-UP S10 2.8 TDI 4X2 D/C DL";"03"
0;"IA012193";"CHEVROLET                     ";"PICK-UP S10 2.8 TDI 4X4 D/C DL";"03"
0;"IA012197";"CHEVROLET                     ";"BLAZER DLX 2.8 TDI 4X4        ";"04"
0;"IA012216";"CHEVROLET                     ";"CORSA  2 GLS/CD 1.8 5 PTAS ABS";"01"
0;"IA012226";"CHEVROLET                     ";"CORSA  2 GLS/CD 1.8 4 PTAS ABS";"01"
0;"IA012230";"CHEVROLET                     ";"CORSA  2 GLS 1.7 4 PTAS TD    ";"01"
0;"IA012231";"CHEVROLET                     ";"CORSA  2 GLS/CD 1.7 4 PTAS ABS";"01"
0;"IA012232";"CHEVROLET                     ";"PICK-UP S10 2.8 TDI 4X4 D/C LT";"03"
0;"IA012236";"CHEVROLET                     ";"ASTRA II GL  2.0 5 PTAS       ";"01"
0;"IA012237";"CHEVROLET                     ";"ASTRA II GLS 2.0 5 PTAS       ";"01"
0;"IA012239";"CHEVROLET                     ";"ASTRA II GL  2.0 4 PTAS       ";"01"
0;"IA012252";"CHEVROLET                     ";"MERIVA 1.8 GL PLUS AB         ";"01"
0;"IA012255";"CHEVROLET                     ";"ZAFIRA II GL  2.0             ";"01"
0;"IA012256";"CHEVROLET                     ";"ZAFIRA II GLS 2.0 16V         ";"01"
0;"IA012259";"CHEVROLET                     ";"ZAFIRA II GLS 2.0 16V DVD     ";"01"
0;"IA012260";"CHEVROLET                     ";"MERIVA 1.7 GL  TD             ";"01"
0;"IA012261";"CHEVROLET                     ";"MERIVA 1.8 GL                 ";"01"
0;"IA012266";"CHEVROLET                     ";"ASTRA II GSI 2.4 5 PTAS       ";"01"
0;"IA012267";"CHEVROLET                     ";"MERIVA 1.8 GL PLUS            ";"01"
0;"IA012269";"CHEVROLET                     ";"MERIVA 1.7 GLS TD             ";"01"
0;"IA012272";"CHEVROLET                     ";"CORSA  2 GL  1.8 4 PTAS AA DH ";"01"
0;"IA012273";"CHEVROLET                     ";"CORSA  2 GL  1.8 5 PTAS AA DH ";"01"
0;"IA012274";"CHEVROLET                     ";"MERIVA 1.8 GLS                ";"01"
0;"IA012279";"CHEVROLET                     ";"VECTRA CD  2.4                ";"01"
0;"IA012280";"CHEVROLET                     ";"VECTRA CD  2.4 AUT            ";"01"
0;"IA012281";"CHEVROLET                     ";"VECTRA GLS 2.4                ";"01"
0;"IA012282";"CHEVROLET                     ";"CORSA GL 1.6 4 P SUPER PACK   ";"01"
0;"IA012283";"CHEVROLET                     ";"PICK-UP S10 2.8 TDI 4X2 S/C  E";"03"
